timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2014-02-14 14:27:00,2.296,0.0021032390817509183,0,-0.11,-0.22,-0.11
2014-02-14 14:32:00,2.144,0.013264760271654574,0,-0.11,-0.22,-0.11
2014-02-14 14:37:00,2.274,0.0023795714879762953,0,-0.11,-0.22,-0.11
2014-02-14 14:42:00,2.066,0.02740697084259791,0,-0.11,-0.22,-0.11
2014-02-14 14:47:00,2.35,0.004245689313221668,0,-0.11,-0.22,-0.11
2014-02-14 14:52:00,2.136,0.014308024161208688,0,-0.11,-0.22,-0.11
2014-02-14 14:57:00,2.366,0.005528117397265664,0,-0.11,-0.22,-0.11
2014-02-14 15:02:00,2.252,0.0033165257079664787,0,-0.11,-0.22,-0.11
2014-02-14 15:07:00,2.4,0.00869009096294815,0,-0.11,-0.22,-0.11
2014-02-14 15:12:00,2.18,0.008725090076573516,0,-0.11,-0.22,-0.11
2014-02-14 15:17:00,2.352,0.004669234954690626,0,-0.11,-0.22,-0.11
2014-02-14 15:22:00,3.4339999999999997,0.4857409455144866,0,-0.11,-0.22,-0.11
2014-02-14 15:27:00,2.43,0.016360215863743473,0,-0.11,-0.22,-0.11
2014-02-14 15:32:00,2.0340000000000003,0.041142740470469175,0,-0.11,-0.22,-0.11
2014-02-14 15:37:00,2.296,0.007868443774333267,0,-0.11,-0.22,-0.11
2014-02-14 15:42:00,2.052,0.03636206771784967,0,-0.11,-0.22,-0.11
2014-02-14 15:47:00,2.314,0.008266391578146681,0,-0.11,-0.22,-0.11
2014-02-14 15:52:00,2.07,0.03200967487542716,0,-0.11,-0.22,-0.11
2014-02-14 15:57:00,2.4,0.0140627123974324,0,-0.11,-0.22,-0.11
2014-02-14 16:02:00,2.07,0.031928194461663284,0,-0.11,-0.22,-0.11
2014-02-14 16:07:00,3.588,0.5736433414415527,0,-0.11,-0.22,-0.11
2014-02-14 16:12:00,2.1919999999999997,0.019127739094074614,0,-0.11,-0.22,-0.11
2014-02-14 16:17:00,2.3,0.013955316563433406,0,-0.11,-0.22,-0.11
2014-02-14 16:22:00,2.134,0.0261362421856689,0,-0.11,-0.22,-0.11
