timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2014-04-10 00:04:00,94.0,-0.004936346305810968,0,-0.11,-0.22,-0.11
2014-04-10 00:09:00,56.0,0.9857027822664902,0,-0.11,-0.22,-0.11
2014-04-10 00:14:00,187.0,0.9951511942629389,0,-0.11,-0.22,-0.11
2014-04-10 00:19:00,95.0,0.4034297086136279,0,-0.11,-0.22,-0.11
2014-04-10 00:24:00,51.0,0.9838668079046988,0,-0.11,-0.22,-0.11
2014-04-10 00:29:00,10.0,0.9901065650973964,0,-0.11,-0.22,-0.11
2014-04-10 00:34:00,49.0,0.9873288902806746,0,-0.11,-0.22,-0.11
2014-04-10 00:39:00,79.0,1.0008542973076062,0,-0.11,-0.22,-0.11
2014-04-10 00:44:00,24.0,0.9926180246190474,0,-0.11,-0.22,-0.11
2014-04-10 00:49:00,73.0,0.9827899174966088,0,-0.11,-0.22,-0.11
2014-04-10 00:54:00,45.0,0.9910001550009828,0,-0.11,-0.22,-0.11
2014-04-10 00:59:00,9.0,0.9822815632697104,0,-0.11,-0.22,-0.11
2014-04-10 01:04:00,33.0,0.9940840128891398,0,-0.11,-0.22,-0.11
2014-04-10 01:09:00,14.0,0.9951199411785911,0,-0.11,-0.22,-0.11
2014-04-10 01:14:00,57.0,0.9903092589208536,0,-0.11,-0.22,-0.11
2014-04-10 01:19:00,139.0,0.9911411734253032,0,-0.11,-0.22,-0.11
2014-04-10 01:24:00,21.0,0.9971538812720216,0,-0.11,-0.22,-0.11
2014-04-10 01:29:00,47.0,0.9873238636289664,0,-0.11,-0.22,-0.11
2014-04-10 01:34:00,124.0,0.9986707810829968,0,-0.11,-0.22,-0.11
2014-04-10 01:39:00,34.0,0.9877734288635038,0,-0.11,-0.22,-0.11
2014-04-10 01:44:00,73.0,0.9749275860009832,0,-0.11,-0.22,-0.11
2014-04-10 01:49:00,6.0,0.9841843994940552,0,-0.11,-0.22,-0.11
2014-04-10 01:54:00,115.0,0.9920267623932147,0,-0.11,-0.22,-0.11
2014-04-10 01:59:00,14.0,0.9857047073135292,0,-0.11,-0.22,-0.11
2014-04-10 02:04:00,21.0,0.9875055011403718,0,-0.11,-0.22,-0.11
