timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2011-07-01 00:15:01,0.405422534525,-0.0009768692522023061,0,-0.11,-0.22,-0.11
2011-07-01 01:15:01,0.433961278227,-0.0004676212610126296,0,-0.11,-0.22,-0.11
2011-07-01 02:15:01,0.389267501625,-0.0008951245163091315,0,-0.11,-0.22,-0.11
2011-07-01 03:15:01,0.368098502243,-0.0004058662860884077,0,-0.11,-0.22,-0.11
2011-07-01 04:15:01,0.365234426765,-0.0003146645023661687,0,-0.11,-0.22,-0.11
2011-07-01 05:15:01,0.3428794869,0.000725776709696091,0,-0.11,-0.22,-0.11
2011-07-01 06:15:01,0.32065002098900003,0.00222682609157876,0,-0.11,-0.22,-0.11
2011-07-01 07:15:01,0.328999171839,0.0015656681306251974,0,-0.11,-0.22,-0.11
2011-07-01 08:15:01,0.330918820695,0.0014023648476441108,0,-0.11,-0.22,-0.11
2011-07-01 09:15:01,0.396968683829,-0.0008846621246361153,0,-0.11,-0.22,-0.11
2011-07-01 10:15:01,0.44347161212,0.00013676928849104542,0,-0.11,-0.22,-0.11
2011-07-01 11:15:01,0.662412074347,0.03323062892910822,0,-0.11,-0.22,-0.11
2011-07-01 12:15:01,0.7074603313750001,0.045120705594473336,0,-0.11,-0.22,-0.11
2011-07-01 13:15:01,0.597161557559,0.01830258410575792,0,-0.11,-0.22,-0.11
2011-07-01 14:15:01,0.600127175161,0.018675254849939368,0,-0.11,-0.22,-0.11
2011-07-01 15:15:01,0.5348122465240001,0.008265394453929042,0,-0.11,-0.22,-0.11
2011-07-01 16:15:01,0.46917505741,0.002151208009450456,0,-0.11,-0.22,-0.11
2011-07-01 17:15:01,0.505456517193,0.004913975475729693,0,-0.11,-0.22,-0.11
2011-07-01 18:15:01,0.4535763584000001,0.0013187323388269554,0,-0.11,-0.22,-0.11
2011-07-01 19:15:01,0.5798271639729999,0.014453583961012815,0,-0.11,-0.22,-0.11
2011-07-01 20:15:01,0.929018598624,0.12440485231361233,0,-0.11,-0.22,-0.11
2011-07-01 21:15:01,0.481969218049,0.003835288630182343,0,-0.11,-0.22,-0.11
2011-07-01 22:15:01,1.59456911756,0.4969855225585185,0,-0.11,-0.22,-0.11
2011-07-01 23:15:01,3.02086765513,0.9575114938737264,0,-0.11,-0.22,-0.11
